time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
12.261126,0.0526,0.0709,-0.0627,0.108
12.266866,0.0557,0.0735,-0.0669,0.114
12.280203,0.05,0.0216,-0.044,0.07
12.301522,0.0225,-0.0035,-0.0144,0.027
12.327793,-0.0381,-0.0518,0.0531,0.083
12.363782,-0.0403,0.0423,-0.0849,0.103
12.374935,-0.0272,0.027,-0.0669,0.077
12.386408,-0.0295,0.0214,-0.0066,0.037
12.407488,-0.0163,-0.0155,0.1413,0.143
12.427916,-0.0218,-0.0362,0.1697,0.175
12.463596,-0.0348,-0.0402,0.0097,0.054
12.47327,-0.0222,-0.0136,-0.0234,0.035
12.48855,0.0154,0.0268,0.0032,0.031
12.51012,0.0652,0.0575,-0.1232,0.151
12.529649,0.09,0.0699,-0.1858,0.218
12.561212,0.0395,0.004,-0.0617,0.073
12.571539,-0.0195,-0.0272,0.0457,0.057
12.591682,-0.0357,-0.0867,0.0953,0.134
12.612508,-0.0122,-0.0735,-0.0128,0.076
12.635687,0.053,0.0026,0.0433,0.068
12.661984,0.0619,-0.0007,-0.0922,0.111
12.672676,0.0722,0.0183,-0.1664,0.182
12.693715,0.0608,0.0415,-0.0973,0.122
12.714365,0.0445,0.0394,0.0374,0.07
12.737278,0.0129,-0.0496,0.0514,0.073
12.762327,0.022,-0.0068,0.0968,0.099
12.776322,0.012,-0.01,0.1084,0.11
12.796381,-0.0177,-0.0026,0.011,0.021
12.817171,0.0102,0.0268,-0.0197,0.035
12.836606,0.0483,0.056,0.065,0.098
12.857226,0.0323,0.0281,-0.01,0.044
12.878722,0.0475,0.0404,-0.0121,0.064
12.899263,-0.0331,-0.0153,0.0215,0.042
12.927931,-0.0763,-0.0595,0.0251,0.1
12.958281,-0.0059,0.0627,-0.1187,0.134
12.966504,0.0338,0.1125,-0.1285,0.174
12.979333,0.0615,0.0944,-0.1215,0.166
13.00037,-0.0168,-0.0282,0.0096,0.034
13.027758,-0.0926,-0.0911,0.03,0.133
13.063368,0.001,0.014,-0.0133,0.019
13.063897,0.001,0.014,-0.0133,0.019
13.082498,-0.0211,-0.0222,0.02,0.037
13.102448,0.0093,-0.0298,0.0288,0.042
13.12871,0.0819,0.0824,0.0674,0.134
13.167999,-0.0559,-0.0457,-0.0351,0.08
13.168473,-0.0559,-0.0457,-0.0351,0.08
13.184021,-0.0333,-0.0366,0.0247,0.055
13.204845,-0.0162,0.0207,0.1351,0.138
13.228499,-0.0194,0.0426,-0.1875,0.193
13.262566,-0.0422,0.0365,0.0455,0.072
13.274797,-0.0036,0.0499,0.1547,0.163
13.286929,0.0303,0.0527,0.0765,0.098
13.306775,0.0341,0.0527,0.0138,0.064
13.3281,0.3683,-0.0873,0.0127,0.379
13.360664,-0.2215,-0.0898,-0.1479,0.281
13.367805,0.1023,-0.1156,-0.006,0.155
13.388431,0.0002,0.0548,0.065,0.085
13.409532,-0.1641,0.0577,-0.1766,0.248
13.429176,0.0399,0.0416,-0.183,0.192
13.463208,0.0629,-0.029,0.159,0.173
13.474975,-0.0479,-0.1086,0.0631,0.134
13.490611,-0.0476,-0.0868,0.097,0.139
13.511018,0.0863,0.0055,-0.0383,0.095
13.53088,0.0575,0.0836,-0.2033,0.227
13.559175,0.0288,0.0585,-0.082,0.105
13.5729,0.0384,0.0201,0.007,0.044
13.593241,0.0302,-0.0239,0.0093,0.04
13.613696,-0.0231,-0.0406,0.0043,0.047
13.635812,0.0375,-0.039,0.0241,0.059
13.663993,0.0516,0.0517,0.0109,0.074
13.67467,0.0367,0.0538,-0.0412,0.077
13.694655,-0.0441,-0.0256,-0.0794,0.094
13.715205,-0.1128,-0.0644,0.059,0.143
13.735698,0.0145,-0.0437,0.16,0.166
13.774,0.09,-0.0873,-0.0722,0.145
13.782453,0.065,-0.0613,-0.1298,0.158
13.796553,0.0815,-0.0048,-0.0322,0.088
13.817321,0.0687,0.0147,-0.0468,0.084
13.836504,0.0277,-0.0075,-0.0507,0.058
13.862219,0.0896,0.0394,0.0518,0.111
13.878085,0.167,0.0154,0.1306,0.213
13.898895,0.0889,-0.0732,0.0386,0.121
13.919065,0.0767,0.0445,-0.0112,0.089
13.938946,0.1706,0.1495,-0.0461,0.231
13.96278,0.1434,0.1509,-0.0807,0.223
13.979776,0.156,0.1093,-0.0031,0.191
14.000933,0.209,0.0527,0.1941,0.29
14.020931,0.0562,-0.0319,0.0313,0.072
14.044059,-0.2316,-0.1444,-0.0529,0.278
14.080962,-0.149,-0.1948,0.3095,0.395
14.090939,-0.1655,-0.2055,0.2335,0.352
14.10262,-0.2081,-0.1942,0.0216,0.285
14.138975,-0.0927,0.1072,-0.2922,0.325
14.167184,0.0776,0.0514,-0.0206,0.095
14.167797,0.0776,0.0514,-0.0206,0.095
14.18374,0.0037,-0.0149,0.0977,0.099
14.204405,0.0049,-0.0578,0.1198,0.133
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
