time,gFx,gFy,gFz,TgF
21.023246,0.0244,0.0309,-0.984,0.98
21.040711,0.0249,0.0284,-0.986,0.99
21.061754,0.0249,0.0299,-0.988,0.99
21.080324,0.0239,0.0313,-0.9889,0.99
21.10583,0.0219,0.0289,-0.9884,0.99
21.122299,0.0273,0.0284,-0.9875,0.99
21.147785,0.0293,0.0338,-0.9992,1
21.168303,0.0342,0.0357,-0.984,0.99
21.179805,0.0366,0.0343,-0.9674,0.97
21.205536,0.0356,0.0304,-0.9684,0.97
21.222656,0.0258,0.0294,-0.985,0.99
21.245777,0.0214,0.0299,-1.0021,1
21.269507,0.0234,0.0284,-1.0002,1
21.28838,0.0278,0.0279,-0.9884,0.99
21.305136,0.0298,0.0313,-0.9845,0.99
21.329973,0.0337,0.0338,-0.9826,0.98
21.346042,0.0386,0.0323,-0.9855,0.99
21.367789,0.0415,0.0299,-0.987,0.99
21.387138,0.0386,0.0304,-0.9865,0.99
21.404085,0.0386,0.0289,-0.9811,0.98
21.429467,0.039,0.0309,-0.988,0.99
21.446032,0.04,0.0313,-0.9899,0.99
21.468003,0.0444,0.0328,-0.985,0.99
21.485648,0.0444,0.0318,-0.9845,0.99
21.505158,0.0449,0.0299,-0.9865,0.99
21.528854,0.0425,0.0284,-0.9924,0.99
21.545554,0.0434,0.0294,-0.9924,0.99
21.567706,0.0469,0.0289,-0.9875,0.99
21.586184,0.0483,0.0289,-0.984,0.99
21.611466,0.0522,0.0294,-0.9836,0.99
21.629495,0.0542,0.0294,-0.984,0.99
21.653994,0.0557,0.0279,-0.9875,0.99
21.674442,0.0581,0.0299,-0.9865,0.99
21.695468,0.0566,0.0289,-0.984,0.99
21.711139,0.0566,0.0279,-0.9821,0.98
21.727468,0.0581,0.0284,-0.9836,0.99
21.752026,0.0566,0.0304,-0.986,0.99
21.775347,0.0581,0.0299,-0.987,0.99
21.793504,0.0581,0.0309,-0.985,0.99
21.811113,0.062,0.0294,-0.985,0.99
21.836833,0.063,0.0289,-0.9865,0.99
21.85237,0.0645,0.0299,-0.9884,0.99
21.87377,0.065,0.0279,-0.9865,0.99
21.892803,0.0664,0.0284,-0.9845,0.99
21.910108,0.0659,0.0284,-0.9831,0.99
21.935383,0.0664,0.0279,-0.9821,0.98
21.951525,0.0694,0.0284,-0.9816,0.98
21.972322,0.0689,0.0274,-0.9816,0.98
21.992153,0.0698,0.0274,-0.984,0.99
22.019072,0.0723,0.0279,-0.9884,0.99
22.035449,0.0679,0.0304,-0.9875,0.99
22.051259,0.0689,0.0289,-0.9865,0.99
22.072716,0.0689,0.0265,-0.985,0.99
22.09104,0.0747,0.0284,-0.984,0.99
22.117895,0.0786,0.0318,-0.9914,0.99
22.134235,0.0816,0.0299,-0.9728,0.98
22.159512,0.0806,0.0279,-0.9743,0.98
22.182342,0.0708,0.025,-0.9884,0.99
22.199783,0.0698,0.025,-0.9919,0.99
22.217332,0.0694,0.0274,-0.9899,0.99
22.23371,0.0723,0.0274,-0.9836,0.99
22.259295,0.0733,0.0284,-0.9816,0.98
22.280614,0.0757,0.0289,-0.985,0.99
22.299605,0.0796,0.0269,-0.9845,0.99
22.316627,0.0826,0.0265,-0.984,0.99
22.341492,0.0816,0.0299,-0.9762,0.98
22.358245,0.0782,0.026,-0.9792,0.98
22.384329,0.0757,0.0284,-0.9855,0.99
22.399402,0.0782,0.0284,-0.9894,0.99
22.415707,0.0786,0.0289,-0.9855,0.99
22.442247,0.0796,0.0294,-0.9826,0.99
22.45751,0.0786,0.0294,-0.9806,0.98
22.481284,0.0752,0.0265,-0.9806,0.98
22.497845,0.0767,0.0284,-0.9836,0.99
22.524096,0.0772,0.0274,-0.9826,0.99
22.541239,0.0786,0.026,-0.984,0.99
22.557353,0.0791,0.0269,-0.985,0.99
